time,altitude,velocity,acceleration
0,0,0,-8.5312
2e-3,0,0,-6.3001
4e-3,0,0,-4.0686
6e-3,0,0,-1.8368
8e-3,0,0,0.39519
0.01,7.9122e-7,7.9143e-4,2.6275
0.012,7.6301e-6,0.0060477,4.8601
0.014,2.9447e-5,0.015769,7.093
0.016,7.5173e-5,0.029957,9.3261
0.018,1.5374e-4,0.048611,11.56
0.02,2.7408e-4,0.071733,13.793
0.022,4.4514e-4,0.099322,16.027
0.024,6.7584e-4,0.13138,18.262
0.026,9.7512e-4,0.1679,20.496
0.028,0.0013519,0.2089,22.731
0.03,0.0018152,0.25436,24.966
0.032,0.0023739,0.3043,27.201
0.034,0.0030369,0.35871,29.437
0.036,0.0038132,0.41758,31.673
0.038,0.0047117,0.48093,33.909
0.04,0.0057414,0.54876,36.146
0.042,0.0069112,0.62105,38.382
0.044,0.00823,0.69782,40.619
0.046,0.0097069,0.77907,42.857
0.048,0.011351,0.86479,45.094
0.05,0.013171,0.95498,47.332
0.052,0.015175,1.0496,49.57
0.054,0.017374,1.1488,51.809
0.056,0.019775,1.2524,54.047
0.058,0.022388,1.3605,56.286
0.06,0.025221,1.4731,58.525
0.062,0.028285,1.5902,60.765
0.064,0.031587,1.7117,63.004
0.066,0.035136,1.8377,65.244
0.068,0.038942,1.9682,67.485
0.07,0.043013,2.1032,69.725
0.072,0.047359,2.2426,71.966
0.074,0.051988,2.3866,74.207
0.076,0.05691,2.535,76.448
0.078,0.062133,2.6879,78.69
0.08,0.067666,2.8453,80.931
0.082,0.073518,3.0072,83.173
0.084,0.079699,3.1735,85.416
0.086,0.086217,3.3444,87.658
0.088,0.093081,3.5197,89.901
0.09,0.1003,3.6995,92.144
0.092,0.10788,3.8838,94.387
0.094,0.11584,4.0726,96.631
0.096,0.12418,4.2659,98.874
0.098,0.13291,4.4636,101.12
0.1,0.14204,4.6659,103.36
0.102,0.15158,4.8726,105.61
0.104,0.16153,5.0838,107.85
0.106,0.17192,5.2995,110.1
0.108,0.18273,5.5197,112.34
0.11,0.194,5.7444,114.59
0.112,0.20572,5.9736,116.83
0.114,0.2179,6.2073,119.08
0.116,0.23055,6.4455,121.32
0.118,0.24368,6.6881,123.57
0.12,0.25731,6.9353,124.63
0.122,0.27143,7.1846,124.51
0.124,0.28605,7.4336,124.38
0.126,0.30116,7.6824,124.26
0.128,0.31678,7.931,124.14
